Date,Open,High,Low,Close,Adj Close,Volume
1992-12-02,2.044642,2.089285,2.035714,2.044642,1.931212,24444000
1992-12-03,2.053571,2.058042,2.004471,2.053571,1.939646,46897200
1992-12-04,2.031256,2.053571,2.017857,2.031256,1.918569,23945600
1992-12-07,2.062500,2.062500,2.026785,2.062500,1.948080,36055600
1992-12-08,2.075899,2.098214,2.062500,2.075899,1.960735,49159600
1992-12-09,2.058042,2.071428,2.044642,2.058042,1.943869,39852400
1992-12-10,2.044642,2.058042,2.017857,2.044642,1.931212,35047600
1992-12-11,2.053571,2.080357,2.044642,2.053571,1.939646,30046800
1992-12-14,2.044642,2.062500,2.026785,2.044642,1.931212,27627600
1992-12-15,2.013399,2.035714,1.982142,2.013399,1.901703,45634400
1992-12-16,1.964285,2.035714,1.946428,1.964285,1.855314,56481600
1992-12-17,2.031256,2.053571,1.973214,2.031256,1.918569,58466800
1992-12-18,2.080357,2.116071,2.044642,2.080357,1.964947,58864400
1992-12-21,2.129471,2.142857,2.071428,2.129471,2.011336,64016400
1992-12-22,2.165185,2.187500,2.133928,2.165185,2.045067,70042000
1992-12-23,2.133928,2.160714,2.116071,2.133928,2.015544,28078400
1992-12-24,2.107142,2.142857,2.107142,2.107142,1.990245,11491200
1992-12-28,2.125000,2.133928,2.116071,2.125000,2.007112,17612000
1992-12-29,2.129471,2.169642,2.125000,2.129471,2.011336,29069600
1992-12-30,2.098214,2.133928,2.098214,2.098214,1.981812,25146800
1992-12-31,2.133928,2.142857,2.098214,2.133928,2.015544,23058000
1993-01-04,2.080357,2.142857,2.062500,2.080357,1.964947,32284000
1993-01-05,2.116071,2.116071,2.044642,2.116071,1.998678,46564000
1993-01-06,2.205357,2.214285,2.160714,2.205357,2.083011,70350000
1993-01-07,2.178571,2.232142,2.165185,2.178571,2.057711,68034400
1993-01-08,2.223214,2.250000,2.133928,2.223214,2.099878,80234000
1993-01-11,2.290185,2.299113,2.205357,2.290185,2.163133,68432000
1993-01-12,2.196428,2.276785,2.196428,2.196428,2.074579,86539600
1993-01-13,2.267857,2.285714,2.187500,2.267857,2.142044,49910000
1993-01-14,2.321428,2.330357,2.276785,2.321428,2.192643,91952000
1993-01-15,2.151785,2.223214,2.142857,2.151785,2.032411,225657600
1993-01-18,2.125000,2.142857,2.071428,2.125000,2.007112,83409200
1993-01-19,2.133928,2.160714,2.116071,2.133928,2.015544,68510400
1993-01-20,2.142857,2.151785,2.125000,2.142857,2.023979,39684400
1993-01-21,2.142857,2.151785,2.098214,2.142857,2.023979,45984400
